paper,title,room,category
1867,"Effect of Salt Concentration on the Electrophoretic Speed of a
  Polyelectrolyte through a Nanopore",Room 8,physics.chem-ph
1868,"DDPG based on multi-scale strokes for financial time series trading
  strategy",Room 3,q-fin.TR
1869,"On regularity of primal and dual dynamic value functions related to
  investment problem",Room 3,q-fin.MF
1870,"Pseudo-Zernike Moments Based Sparse Representations for SAR Image
  Classification",Room 1,eess.SP
1871,Photodynamic therapy influence on anti-cancer immunity,Room 6,q-bio.CB
1872,"Comment on ""Long Time Evolution of Phase Oscillator Systems"" [Chaos
  19,023117 (2009), arXiv:0902.2773]",Room 8,nlin.CD
1873,Depletion effects in smectic phases of hard rod--hard sphere mixtures,Room 8,cond-mat.soft
1874,"Testing polynomial covariate effects in linear and generalized linear
  mixed models",Room 1,stat.AP
1875,"Local identifiability of $l_1$-minimization dictionary learning: a
  sufficient and almost necessary condition",Room 2,stat.ML
1876,"Sparse partial least squares for on-line variable selection in
  multivariate data streams",Room 3,stat.ML
1877,The double dealing of cyclin D1,Room 6,q-bio.SC
1878,Temporal Correlations of Local Network Losses,Room 4,cs.NI
1879,Cryopreservation of pineapple (Ananas comosus) apices,Room 11,q-bio.TO
1880,"Sequential Monte Carlo pricing of American-style options under
  stochastic volatility models",Room 3,q-fin.CP
1881,The Glue Content of the Pion,Room 5,hep-lat
1882,Asynchronous ADRs: Overnight vs Intraday Returns and Trading Strategies,Room 3,q-fin.ST
1883,DVA for Assets,Room 3,q-fin.PR
1884,Groebner-Shirshov Bases: Some New Results,Room 5,math.RA
1885,Optimal Byzantine Resilient Convergence in Asynchronous Robot Networks,Room 10,cs.DC
1886,"Formal Scenario-Based Testing of Autonomous Vehicles: From Simulation to
  the Real World",Room 1,eess.SY
1887,Nonlocal interactions versus viscosity in turbulence,Room 12,nlin.CD
1888,"Necessary optimality conditions for the calculus of variations on time
  scales",Room 5,math.OC
1889,"Metrics matter, a Formal comment on Ward et al Plos-One 2016 paper : Is
  decoupling GDP growth from environmental impact possible?",Room 3,econ.GN
1890,Precision Lattice Calculation of D and Ds decay constants,Room 12,hep-lat
1891,Early Record of Divisibility and Primality,Room 5,math.HO
1892,"Consequences of cell-to-cell P-glycoprotein transfer on acquired
  multidrug resistance in breast cancer: a cell population dynamics model",Room 6,q-bio.BM
1893,"A Random Matrix Approach to Wide Band Spectrum Sensing: Unknown Noise
  Variance Case",Room 1,eess.SP
1894,A Streamwise GAN Vocoder for Wideband Speech Coding at Very Low Bit Rate,Room 2,eess.AS
1895,Network motifs come in sets: correlations in the randomization process,Room 2,q-bio.MN
1896,The F5 Algorithm in Buchberger's Style,Room 10,cs.SC
1897,"Adaptive Optimal Nonparametric Regression and Density Estimation Based
  on Fourier-Legendre Expansion",Room 1,math.ST
1898,Controllability of Brain Networks,Room 6,q-bio.NC
1899,A preliminary XML-based search system for planetary data,Room 1,cs.IR
1900,"Path Diversity over Packet Switched Networks: Performance Analysis and
  Rate Allocation",Room 10,cs.NI
1901,End-to-End Risk Budgeting Portfolio Optimization with Neural Networks,Room 2,q-fin.PM
1902,Spatio-temporal Models of Lymphangiogenesis in Wound Healing,Room 6,q-bio.TO
1903,"Detection of Cancer Stages via Fractal Dimension Analysis of Optical
  Transmission Imaging of Tissue Micro Arrays (TMA)",Room 6,q-bio.TO
1904,The Complexity of Finding Reset Words in Finite Automata,Room 12,cs.FL
1905,On the magnetic topology of partially and fully convective stars,Room 11,astro-ph.SR
1906,"Change-Point Detection in Time-Series Data by Relative Density-Ratio
  Estimation",Room 1,stat.ML
1907,The derivative nonlinear Schrodinger equation on the interval,Room 5,nlin.SI
1908,"Phase space reconstruction from a biological time series. A
  PhotoPlethysmoGraphic signal a case study",Room 6,q-bio.OT
1909,A partial $A_\infty$-structure on the cohomology of $C_n\times C_m$,Room 7,math.KT
1910,Modelling volatile time series with v-transforms and copulas,Room 3,q-fin.RM
1911,Macroeconomic Data Transformations Matter,Room 2,econ.EM
1912,"Analysis of a stochastic chemical system close to a SNIPER bifurcation
  of its mean-field model",Room 5,physics.chem-ph
1913,"SoundSignaling: Realtime, Stylistic Modification of a Personal Music
  Corpus for Information Delivery",Room 4,eess.AS
1914,Estimating Idea Production: A Methodological Survey,Room 1,econ.GN
1915,Unit Averaging for Heterogeneous Panels,Room 4,econ.EM
1916,Fourier series and approximation on hexagonal and triangular domains,Room 5,math.CA
1917,Hybrid Analog-Digital Precoding for Interference Exploitation,Room 10,eess.SP
1918,Swap Bribery,Room 4,cs.GT
1919,On-a-chip biosensing based on all-dielectric nanoresonators,Room 11,physics.app-ph
1920,Graph-Controlled Insertion-Deletion Systems,Room 7,cs.FL
1921,Kernels for linear time invariant system identification,Room 1,cs.SY
1922,"Search for Cosmic-Ray Antiparticles with Balloon-borne and Space-borne
  Experiments",Room 11,astro-ph.IM
1923,DomainScope: A disease network based on protein domain connections,Room 6,q-bio.GN
1924,RCF2: Evaluation and Consistency,Room 12,math.CT
1925,Hierarchical PCA and Applications to Portfolio Management,Room 3,q-fin.PM
1926,Asymptotic Analysis for Optimal Dividends in a Dual Risk Model,Room 4,q-fin.RM
1927,Granularity-Adaptive Proof Presentation,Room 7,cs.AI
1928,The Extremal Spheres Theorem,Room 7,math.MG
1929,Quantifying evolvability in small biological networks,Room 6,q-bio.MN
1930,"Determination of the $\psi(3770)$, $\psi(4040)$, $\psi(4160)$ and
  $\psi(4415)$ resonance parameters",Room 11,hep-ex
1931,"DCASE 2021 Task 3: Spectrotemporally-aligned Features for Polyphonic
  Sound Event Localization and Detection",Room 2,eess.AS
1932,Percolation Approach to Study Connectivity in Living Neural Networks,Room 6,q-bio.NC
1933,"Analytic Loss Distributional Approach Model for Operational Risk from
  the alpha-Stable Doubly Stochastic Compound Processes and Implications for
  Capital Allocation",Room 3,q-fin.RM
1934,"Arabic Speech Recognition by End-to-End, Modular Systems and Human",Room 12,eess.AS
1935,"Free Field Realization of Quantum Affine Superalgebra
  $U_q(\hat{{sl}}(N|1))$",Room 7,nlin.SI
1936,"Superconducting parallel nanowire detector with photon number resolving
  functionality",Room 11,physics.ins-det
1937,Nonparametric Reduced Rank Regression,Room 1,stat.ML
1938,"Detection of Functional Communities in Networks of Randomly Coupled
  Oscillators Using the Dynamic-Mode Decomposition",Room 6,nlin.AO
1939,Algorithmic Fairness and Statistical Discrimination,Room 4,econ.TH
1940,"Testing approximate normality of an estimator using the estimated MSE
  and bias with an application to the shape parameter of the generalized Pareto
  distribution",Room 3,stat.AP
1941,Solvable Lie algebras with triangular nilradicals,Room 7,math.RA
1942,"Convolutional Neural Network and decision support in medical imaging:
  case study of the recognition of blood cell subtypes",Room 2,eess.IV
1943,Explicit option valuation in the exponential NIG model,Room 12,q-fin.PR
1944,"Evaluating experiences in a digital nutrition education program for
  people with multiple sclerosis: a qualitative study",Room 12,q-bio.OT
1945,Approximate Bayesian Computation for Smoothing,Room 1,stat.CO
1946,Shadow price in the power utility case,Room 3,q-fin.PM
1947,On one polynomial $p$-adic dynamical system,Room 5,math.DS
1948,"Exploration of legal implications of air and space travel for
  international and domestic travel and the Environment",Room 11,econ.GN
1949,"Clustering South African households based on their asset status using
  latent variable models",Room 1,stat.AP
1950,Asset Allocation: From Markowitz to Deep Reinforcement Learning,Room 2,q-fin.PM
1951,Probabilistic projections of HIV prevalence using Bayesian melding,Room 1,stat.AP
1952,"Event-by-event transverse momentum fluctuations in nuclear collisions at
  CERN SPS",Room 11,nucl-ex
1953,"A Flexible LDPC code decoder with a Network on Chip as underlying
  interconnect architecture",Room 10,cs.AR
1954,"A Survey of Air-to-Ground Propagation Channel Modeling for Unmanned
  Aerial Vehicles",Room 10,eess.SP
1955,"TT2NE: A novel algorithm to predict RNA secondary structures with
  pseudoknots",Room 6,q-bio.BM
1956,"An EM algorithm for estimation in the Mixture Transition Distribution
  model",Room 1,stat.CO
1957,"Estimating real-world probabilities: A forward-looking behavioral
  framework",Room 3,q-fin.RM
1958,Why Long-Term Debt Instruments Cannot Be Deposit Substitutes,Room 3,q-fin.GN
1959,"New Close Binary Systems from the SDSS-I (Data Release Five) and the
  Search for Magnetic White Dwarfs in Cataclysmic Variable Progenitor Systems",Room 11,astro-ph
1960,Rate Constrained Random Access over a Fading Channel,Room 10,cs.GT
1961,Jackknife inference with two-way clustering,Room 1,econ.EM
1962,Spatio-temporal canards in neural field equations,Room 8,nlin.PS
1963,Cause and Cure of Sloppiness in Ordinary Differential Equation Models,Room 6,q-bio.MN
1964,Intermittency in Quantitative Finance,Room 4,q-fin.ST
1965,"Emission of Low-Energy Photons by Electrons at Electron-Positron and
  Electron-Ion Colliders with Dense Bunches",Room 11,physics.acc-ph
1966,Complexity Synchronization,Room 6,nlin.AO
1967,Nonextensive triplets in stock market indices,Room 4,q-fin.ST
1968,A Roadmap for Predictive Human Immunology,Room 2,q-bio.OT
1969,Long delay times in reaction rates increase intrinsic fluctuations,Room 6,q-bio.QM
1970,A Maximum Theorem for Incomplete Preferences,Room 4,econ.TH
1971,Source Reconstruction for Spatio-Temporal Physical Statistical Models,Room 1,stat.OT
1972,Orthogonal complex structures on domains in R^4,Room 7,math.DG
1973,"General Mixed Multi-Soliton Solutions to One-Dimensional Multicomponent
  Yajima-Oikawa System",Room 8,nlin.SI
1974,"Multiple Conceptual Coherences in the Speed Tutorial: Micro-processes of
  Local Stability",Room 11,physics.ed-ph
1975,Learning Wavefront Coding for Extended Depth of Field Imaging,Room 2,eess.IV
1976,Efficiency of Monte Carlo Sampling in Chaotic Systems,Room 5,nlin.CD
1977,MOHCS: Towards Mining Overlapping Highly Connected Subgraphs,Room 2,cs.DC
1978,"Dynamic Resonance Effects in the Statistical Distributions of Asteroids
  and Comets",Room 11,astro-ph.EP
1979,Learning-based attacks in cyber-physical systems,Room 10,eess.SY
1980,Hyperbolic geometry and moduli of real cubic surfaces,Room 7,math.AG
1981,Moments Calculation For the Doubly Truncated Multivariate Normal Density,Room 1,stat.CO
1982,"Stochastic focusing coupled with negative feedback enables robust
  regulation in biochemical reaction networks",Room 6,q-bio.MN
1983,Avoiding pathologies in very deep networks,Room 2,stat.ML
1984,Chaotic Transitions in Wall Following Robots,Room 12,nlin.CD
1985,Representations admitting two pairs of supplementary invariant spaces,Room 7,math.RT
1986,"Valid auto-models for spatially autocorrelated occupancy and abundance
  data",Room 1,q-bio.QM
1987,"Determining the Number of Non-Spurious Arcs in a Learned DAG Model:
  Investigation of a Bayesian and a Frequentist Approach",Room 1,stat.AP
1988,Dynamic Phase Transitions in Cell Spreading,Room 6,q-bio.CB
1989,Solos: A Dataset for Audio-Visual Music Analysis,Room 2,eess.AS
1990,Stabilizing a spherical pendulum on a quadrotor,Room 5,eess.SY
1991,Some epistemic questions of cosmology,Room 11,physics.hist-ph
1992,Asymptotic stability at infinity for bidimensional Hurwitz vector fields,Room 7,math.DS
1993,How to predict and avert economic crisis,Room 3,q-fin.GN
1994,"A Multi-Agent-Based Rolling Optimization Method for Restoration
  Scheduling of Electrical Distribution Systems with Distributed Generation",Room 10,eess.SP
1995,"Local Labor Market Effects of Mergers and Acquisitions in Developing
  Countries: Evidence from Brazil",Room 3,econ.GN
1996,"Optical polarisation of the Crab pulsar: precision measurements and
  comparison to the radio emission",Room 11,astro-ph.SR
1997,Are Men Less Generous to a Smarter Woman? Evidence from a Dictator Game Experiment,Room 4,econ.GN
1998,"Death ligand concentration and the membrane proximal signaling module
  regulate the type 1/ type 2 choice in apoptotic death signaling",Room 6,q-bio.CB
1999,Solar wind turbulent spectrum from MHD to electron scales,Room 11,physics.space-ph
2000,Statistical thermodynamics of economic systems,Room 4,q-fin.ST
2001,On Daryl Bem's Feeling the Future Paper,Room 1,stat.AP
2002,On minimal extensions of rings,Room 7,math.RA
2003,Optical Kerr spatiotemporal dark extreme waves,Room 8,nlin.PS
2004,Dynamically Stable Matching,Room 4,econ.TH
2005,Four methods for generation of turbulent phase screens: comparison,Room 11,eess.IV
2006,"Blockmodels: A R-package for estimating in Latent Block Model and
  Stochastic Block Model, with various probability functions, with or without
  covariates",Room 1,stat.CO
2007,"Is the panel fair? Evaluating panel compositions through network
  analysis. The case of research assessments in Italy",Room 12,econ.GN
2008,The Effect of Education on Smoking Decisions in the United States,Room 1,econ.GN
2009,"A comparative study for the pair-creation contact process using series
  expansions",Room 5,cond-mat.stat-mech
2010,Estimation procedures for a semiparametric family of bivariate copulas,Room 3,stat.ME
2011,"Enhancing Patch-Based Methods with Inter-frame Connectivity for
  Denoising Multi-frame Images",Room 2,eess.IV
2012,Inference under random limit bootstrap measures,Room 1,econ.EM
2013,"Multi-Scale Recursive and Perception-Distortion Controllable Image
  Super-Resolution",Room 2,eess.IV
2014,"Error analysis in Bayesian identification of non-linear state-space
  models",Room 1,stat.AP
2015,General Bayesian inference schemes in infinite mixture models,Room 1,stat.CO
2016,"Variational approximations for travelling solitons in a discrete
  nonlinear Schr\""{o}dinger equation",Room 8,nlin.PS
2017,The Rise of Age-Friendly Jobs,Room 1,econ.GN
2018,"Value relevance of the components of oil and gas reserve quantity change
  disclosures of upstream oil and gas companies in the london stock exchange",Room 3,q-fin.GN
2019,"Microscopic and Macroscopic Stress with Gravitational and Rotational
  Forces",Room 8,nlin.CD
2020,Mixtures of Spatial Spline Regressions,Room 2,stat.ME
2021,"Asymmetric Rotational Stroke in Mouse Node Cilia during Left-Right
  Determination",Room 6,q-bio.TO
2022,DiffSVC: A Diffusion Probabilistic Model for Singing Voice Conversion,Room 2,eess.AS
2023,"Chen's double sieve, Goldbach's conjecture and the twin prime problem, 2",Room 7,math.NT
